,length of string,avg entropy,avg entropy of same length,average entropy of lenght x 100
0,110,5.715368530299559,6.167634486212599,6.9433890300755206
1,208,5.8420557666455055,6.446726457504323,6.948005381753729
2,317,5.903535139625905,6.7127138994842,6.9555201833205835
3,399,5.949278020191434,6.702825533890059,6.951386457291748
4,552,5.938295002285926,6.78345766781312,6.954895243079078
5,639,5.942503024922411,6.811608379493095,6.957331797131132
6,689,5.9557101649244935,6.8161355422904695,6.955990403982709
7,790,5.95659799722282,6.854363114114663,6.955735683065902
8,928,5.968496272939671,6.841165809079656,6.954815577054546
9,1039,5.974683712100523,6.856203792255705,6.956371423457371
10,1141,5.969674145140279,6.813612990337701,6.95662060271152
11,1220,5.97088939658206,6.879815146985057,6.955593118276083
12,1307,5.982167660993769,6.878060041461755,6.956299495640883
13,1409,5.979276918197203,6.904118569892276,6.956475918572591
14,1618,5.976775999628076,6.914857244399566,6.956534410125959
15,1643,5.986468243766758,6.908963782830046,6.957331294898213
16,1777,5.9820115253338475,6.911313977612811,6.958399910677699
17,1903,5.987385472395304,6.910633990108992,6.95586585016682
18,1962,5.983369078818676,6.9233685940118,6.956944746207005
19,2127,5.989746455487765,6.910299144777923,6.954293632479113
20,2240,5.984657486443175,6.927011297625865,6.954721070367038
21,2263,5.987201695603805,6.91202789798323,6.956407072281665
22,2440,5.982046233312094,6.919086141133914,6.9572037614713675
23,2488,5.984555296914458,6.934545801736225,6.957385849873458
24,2661,5.9884107479345605,6.928478728636039,6.956713726650169
25,2705,5.992521287502043,6.929045876129373,6.9566593472730975
26,2799,5.989505712965813,6.9175068703928675,6.957478640014869
27,2855,5.990909193243578,6.919458251994633,6.95613163029333
28,3063,5.986801839054834,6.927998042793789,6.956495970690396
29,3040,5.992605528301477,6.927812395941242,6.95739926347963
30,3278,5.991178967043417,6.935396711245831,6.956673191270121
31,3304,5.991241435640308,6.91333349326374,6.956821565198616
32,3442,5.988033665400137,6.9296821495961165,6.9547316358106634
33,3586,5.992004134311676,6.922845667101014,6.956508297132787
34,3649,5.993875990502553,6.922465904964646,6.9558485985602765
35,3786,5.990239886007556,6.928180628476516,6.954910959263572
36,3808,5.995561465217666,6.925488755433752,6.956078253345906
37,3926,5.9928297366659065,6.9237821633110075,6.956232848350949
38,4084,5.993761955563306,6.931734629583737,6.956471940573963
39,4185,5.99236801993971,6.932873344138284,6.956686028341371
40,4246,5.995670165733971,6.939776009607044,6.956776175210543
41,4333,5.995114538889208,6.922639634701842,6.95645434824185
42,4573,5.994946415426364,6.925425883022745,6.956520745822292
43,4681,5.994244204839932,6.938010337684625,6.958171504855062
44,4635,5.994232460295975,6.927710322903044,6.956511328174904
45,4759,5.9969343362329885,6.919588376862112,6.9571094377124085
46,4915,5.994541177274604,6.928650920550283,6.956641240351532
47,5093,5.994516863481341,6.952600883680383,6.9553549416630895
48,5110,5.995062962755434,6.922859141279587,6.956904795115403
49,5211,5.995391808010898,6.939073267182899,6.9573105934012265
50,5210,5.994576803460974,6.937405652974522,6.9583929707586645
51,5371,5.994547036671238,6.934450044361254,6.957522768974729
52,5430,5.994723377424296,6.943814930967549,6.956688921156325
53,5606,5.9937396391485125,6.935148887682871,6.957250828067806
54,5694,5.99586608954109,6.94146581739011,6.9574209317156
55,5801,5.992993302130082,6.943397849889976,6.956746611154982
56,5848,5.99452546619531,6.95153873236214,6.956498339908953
57,5958,5.997892161481966,6.953822512987518,6.957963621720914
58,6107,5.997113462763629,6.945369677957826,6.956437040267039
59,6408,5.994934980700877,6.944172295871362,6.955803930679486
60,6293,5.997205814066937,6.946639813485311,6.9569106248973185
61,6356,5.9952127682586625,6.936544981419217,6.957364157171987
62,6560,5.995616051453967,6.935389358746473,6.956596742632722
63,6556,5.994625926431249,6.947131973026309,6.956896494253125
64,6783,5.9984687097015295,6.943101886683042,6.955793481847982
65,6882,5.9972061996734265,6.936085462934046,6.956700938043819
66,7121,5.995257738767612,6.945553544869178,6.957380089447114
67,7127,5.996456093302186,6.936803060980998,6.95737664804989
68,7209,5.99657285397973,6.945477558587062,6.957138170470032
69,7366,5.994558020926309,6.952440122287711,6.956341105281509
70,7349,5.997041110416205,6.938187566952154,6.956406166083979
71,7417,5.996373815009158,6.953253549485311,6.956612042949699
72,7540,5.996913532019267,6.943400537213991,6.957129858349152
73,7696,5.997016322202776,6.9522582541745575,6.956629592895801
74,7630,5.99467843181626,6.9370312466713875,6.957173735946382
75,8039,5.9974949112945435,6.943229642072947,6.956874322947287
76,8141,5.997420704552171,6.941172099756593,6.956172019049181
77,7975,5.998255709739156,6.948380921381622,6.956613295532329
78,8204,5.995276026248516,6.938138063385299,6.956850470884199
79,8288,5.998539750783035,6.9449862019537685,6.956065681351429
80,8403,5.996494659150725,6.94281310365958,6.957097965731107
81,8481,5.9963761851346735,6.942695684987008,6.95663195260017
82,8644,5.9971946415436514,6.946152724847903,6.957159870879383
83,8680,5.996666826068943,6.9418577228857545,6.95737063228948
84,8754,5.997018492906077,6.946966360296372,6.956749046619576
85,8736,5.9964854903388805,6.939394955513381,6.955726886287392
86,9154,5.9977061125036695,6.932794039146389,6.956098695938361
87,9140,5.996966288705953,6.947638598231007,6.9569975358740415
88,9205,5.9957273057627845,6.945814877454988,6.956343317520723
89,9394,5.995352397434467,6.949822415827848,6.957382547108823
90,9594,5.997241913027291,6.95315635290547,6.957682270164829
91,9675,5.995898049391783,6.957758495876057,6.956426865990949
92,9595,5.996666068676385,6.951130973168378,6.957136779516143
93,9785,5.99614316841496,6.951380640302066,6.956429567418481
94,10057,5.998141910104775,6.947827372833218,6.956516747909041
95,9828,5.996541158705367,6.952548613352728,6.956922440549354
96,10049,5.997793292732303,6.94733727289889,6.956494070011886
97,10145,5.997379754883936,6.95105366597116,6.957102876803897
98,10350,5.997728606338859,6.94631933637971,6.956855700033808
